Country,CPI Score 2018
Seychelles,66
Botswana,61
Cape Verde,57
Rwanda,56
Namibia,53
Mauritius,51
Sao Tome and Principe,46
Senegal,45
South Africa,43
Burkina Faso,41
Ghana,41
Lesotho,41
Benin,40
Swaziland,38
Gambia,37
Tanzania,36
Côte d'Ivoire,35
Zambia,35
Ethiopia,34
Niger,34
Liberia,32
Malawi,32
Mali,32
Djibouti,31
Gabon,31
Sierra Leone,30
Togo,30
Guinea,28
Comoros,27
Kenya,27
Mauritania,27
Nigeria,27
Central African Republic,26
Uganda,26
Cameroon,25
Madagascar,25
Eritrea,24
Mozambique,23
Zimbabwe,22
Democratic Republic of the Congo,20
Angola,19
Chad,19
Congo,19
Burundi,17
Equatorial Guinea,16
Guinea Bissau,16
Sudan,16
South Sudan,13
Somalia,10
