Name,Tenure insecurity,Tenure security,Formal documents,Informal documents,No documents,Experienced loss,Believe are well protected,Know how to defend
Benin,34,63,33,2,65,10,70,69
Bolivia,24,63,43,5,52,8,51,80
Burkina Faso,44,54,38,7,55,6,64,62
Cambodia,33,52,80,7,13,9,79,68
Cameroon,31,55,47,10,44,12,49,68
Colombia,24,65,42,3,55,9,44,60
Costa Rica,17,75,64,17,19,7,61,71
Côte d'Ivoire,28,59,54,11,35,10,36,65
Ecuador,19,69,62,6,32,5,44,75
Ghana,26,62,36,11,54,10,75,75
Honduras,19,68,53,10,37,6,46,79
Indonesia,24,63,54,5,41,4,81,67
Jordan,40,57,34,4,62,7,84,81
Kenya,28,61,39,8,53,9,48,78
Liberia,43,51,64,3,33,23,70,90
Madagascar,25,67,58,12,30,9,16,64
Malawi,21,71,32,5,63,11,70,55
Mexico,15,79,47,4,50,4,57,68
Morocco,21,68,32,5,63,9,55,67
Mozambique,24,57,53,9,37,13,70,77
Namibia,32,63,45,7,48,10,70,69
Niger,28,60,22,4,74,13,75,79
Nigeria,22,68,39,8,53,9,61,77
Peru,18,67,69,4,27,5,28,80
Rwanda,8,89,81,2,17,6,88,80
Senegal,21,77,53,17,30,8,64,83
Tanzania,21,64,42,3,55,6,69,73
Thailand,17,72,52,2,46,3,62,44
Tunisia,24,74,71,11,17,8,77,79
Uganda,26,62,40,9,51,16,54,77
United Kingdom,11,87,79,0,20,7,73,27
Vietnam,10,82,63,1,36,9,0,85
Zambia,27,70,24,16,60,10,73,79
